,SiteEnergyUse(kBtu),TotalGHGEmissions,PrimaryPropertyType,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFABuilding(s),PropertyGFAParking,ENERGYSTARScore,proportion_SteamUse(kBtu),proportion_Electricity(kBtu),proportion_NaturalGas(kBtu)
904,860364.1875,23.59,Worship Facility,47.54362,-122.2667,1965,1.0,2,21732,0,2.0,0.0,0.5569257844080127,0.44307399766101957
921,813641.0,5.67,Retail Store,47.66033,-122.31348,1900,1.0,3,32960,0,71.0,0.0,1.0,0.0
923,716279.6875,4.99,Hotel,47.66023,-122.31581,1930,1.0,3,20571,0,72.0,0.0,0.9999990401793992,0.0
932,3040195.5,118.37,Worship Facility,47.65926,-122.31241,1926,1.0,2,47992,0,17.0,0.0,0.30722629515108485,0.6927738693120229
934,2717863.25,89.57,Residence Hall,47.65711,-122.31409,1993,1.0,3,28572,0,16.0,0.0,0.43680453753513904,0.5631953704808363
953,1128179.125,27.14,Worship Facility,47.68752,-122.29852,2000,1.0,2,31386,0,52.0,0.0,0.6297563784474385,0.37024351075455325
963,2641681.75,20.08,Small- and Mid-Sized Office,47.64834,-122.33188,2012,1.0,2,57619,26497,68.0,0.0,0.986367491087827,0.013632225002122227
964,8690648.0,355.8,Hotel,47.61345,-122.34068,1925,1.0,9,104000,0,8.0,0.4117700141577475,0.4786549863715571,0.10957491317103167
966,3321035.75,23.15,Senior Care Community,47.57188,-122.29531,1981,1.0,3,78374,0,98.0,0.0,0.9999997741668394,0.0
973,2178690.5,49.98,Small- and Mid-Sized Office,47.60542,-122.3364,1900,1.0,5,39960,0,77.0,0.0,0.6538891136671316,0.3461106568372148
975,2147968.25,120.91,Hotel,47.60721,-122.33451,1926,1.0,11,36240,0,98.0,0.539169166024684,0.2124565854267166,0.24837424854859935
980,3321603.0,130.58,Hotel,47.60223,-122.32889,1909,1.0,6,35820,0,94.0,0.0,0.29905711188242545,0.7009428881175745
982,3987215.5,185.23,K-12 School,47.56542,-122.38502,1922,1.0,2,33462,0,76.0,0.0,0.14419586801867118,0.8558042573821254
983,2096835.5,89.29,K-12 School,47.56504,-122.38455,1965,1.0,3,49744,0,98.0,0.0,0.22812900678188633,0.7718707547635473
984,1411305.5,43.45,Worship Facility,47.56342,-122.38509,1923,1.0,2,37816,0,60.0,0.0,0.48379461427734816,0.5162050314407476
990,1906384.875,13.29,Supermarket / Grocery Store,47.56197,-122.38109,1946,1.0,2,25762,0,100.0,0.0,1.0000000655691312,0.0
993,2686765.0,34.15,Small- and Mid-Sized Office,47.56175,-122.37835,1981,1.0,3,43387,0,60.0,0.0,0.8756232867407459,0.12437671325925416
1010,1811506.375,13.16,Warehouse,47.552,-122.32262,1985,1.0,1,37500,0,36.0,0.0,0.9935918663272714,0.006407926662692534
